playing,player,team,fallen,x,y,theta,ballage,ballx,bally,secsremaining,goodego
true,6,13,false,-4603.689,-757.8822,-1.489687,-1.0,-10.0,-10.0,-3,True
true,2,5,false,119.47278,-479.4925,0.39533398,13.693,2584.4182,-735.2081,-3,True
true,4,5,false,2772.16,-173.19012,1.110451,2.165,1030.5234,-3066.9717,-3,True
true,8,5,true,-3900.0005,-3000.0007,1.568413,-1.0,0.0,0.0,-3,True
true,3,5,true,4140.6533,-514.0669,0.50380296,3.632,450.85806,84.3869,-3,True
true,5,5,false,4268.9194,-238.5064,-1.3879704,0.033,295.18826,35.98638,-3,True
true,2,13,false,-3986.6973,1895.7661,1.420557,-1.0,-10.0,-10.0,-3,True
true,1,5,false,-3973.7354,53.041515,0.07348691,17.49,6661.845,-988.72003,-3,True
true,7,5,false,1197.6971,1413.5209,0.47505355,8.129,2689.7378,-2260.92,-3,True
true,1,13,true,-4127.0063,757.13696,-2.661822,-1.0,-10.0,-10.0,-3,True
true,6,5,false,-3270.5586,464.167,-0.24802487,14.315,6650.611,995.5928,-3,True
true,9,5,true,-3900.0005,-3000.0007,1.5861253,-1.0,0.0,0.0,-3,True
true,7,13,false,-3410.206,2358.1982,-1.6653011,-1.0,-10.0,-10.0,-3,True
true,6,13,false,-4603.689,-757.8822,-1.489773,-1.0,-10.0,-10.0,-3,True
true,2,5,false,54.74982,-500.71146,-0.1269042,14.699,2603.178,786.7159,-3,True
true,4,5,false,2687.146,-137.5787,0.76813257,0.034,943.637,-1530.6874,-3,True
true,8,5,true,-3900.0005,-3000.0007,1.5685691,-1.0,0.0,0.0,-3,True
false,3,5,true,4140.6533,-514.0669,0.50380373,4.657,450.85806,84.3869,-4,True
false,5,5,false,4214.38,-395.62567,-0.45095327,0.377,192.12038,-49.052353,-4,True
false,2,13,false,-4198.716,1588.875,1.5543355,-1.0,-10.0,-10.0,-4,True
false,1,5,false,-3976.8223,65.1945,-0.95867354,18.49,4312.065,5160.8926,-4,True
false,7,5,false,1149.9325,1399.6466,-0.21799637,9.129,3537.878,138.3997,-4,True
false,1,13,true,-4127.0063,757.13696,-2.661822,-1.0,-10.0,-10.0,-4,True
false,6,5,false,-3293.962,512.49634,-1.393509,15.325,1534.6726,6541.7383,-4,True
false,9,5,true,-3900.0005,-3000.0007,1.5862269,-1.0,0.0,0.0,-4,True
false,7,13,false,-3386.5752,2218.8052,-1.0894105,-1.0,-10.0,-10.0,-4,True
false,6,13,false,-4603.689,-757.8822,-1.4910443,-1.0,-10.0,-10.0,-4,True
false,2,5,false,146.83588,-504.157,-0.9341363,15.699,1417.2095,2294.976,-4,True
false,4,5,false,2613.271,-44.20191,0.5613913,1.04,1258.373,-1424.6611,-4,True
false,8,5,true,-3900.0005,-3000.0007,1.5691717,-1.0,0.0,0.0,-4,True
false,3,5,true,4140.6533,-514.0669,0.50380397,5.664,450.85806,84.3869,-4,True
false,5,5,true,4324.399,-446.12558,0.33720148,1.399,608.34717,-212.1633,-4,True
false,2,13,false,-4329.476,1373.0176,1.3429524,-1.0,-10.0,-10.0,-4,True
false,1,5,false,-3927.0823,93.12961,-1.836081,19.516,-669.9387,6678.575,-4,True
false,7,5,false,1187.5387,1394.9802,-1.0357026,10.161,2376.2917,2581.2527,-4,True
false,1,13,true,-4005.267,772.3887,-2.6828322,-1.0,-10.0,-10.0,-4,True
false,6,5,false,-3285.6272,509.87534,-2.4943779,16.325,-5176.874,4275.9497,-4,True
false,9,5,true,-3900.0005,-3000.0007,1.5872658,-1.0,0.0,0.0,-4,True
false,6,13,false,-4603.689,-757.8822,-1.4931042,-1.0,-10.0,-10.0,-4,True
false,7,13,false,-3261.9048,2054.671,-0.8818619,-1.0,-10.0,-10.0,-4,True
false,2,5,false,203.10303,-482.18857,-0.94386077,16.725,1399.092,2303.4565,-4,True
false,4,5,false,2480.4888,15.498909,0.4830686,2.066,1465.2067,-1411.7587,-4,True
false,8,5,true,-3900.0005,-3000.0007,1.5691963,-1.0,0.0,0.0,-4,True
false,3,5,true,4140.6533,-514.0669,0.50380474,6.689,450.85806,84.3869,-4,True
false,5,5,true,4324.399,-446.12558,0.33720216,2.399,1250.2445,-387.97827,-4,True
false,2,13,false,-4322.1104,1303.4355,1.4832761,-1.0,-10.0,-10.0,-4,True
false,1,5,false,-3941.0125,31.79004,-2.673571,20.516,-5354.8135,4050.02,-4,True
false,7,5,false,1184.389,1396.7684,-1.0359331,11.161,2345.972,2609.8262,-4,True
false,1,13,true,-4005.267,772.3887,-2.6828322,-1.0,-10.0,-10.0,-4,True
false,9,5,true,-3900.0005,-3000.0007,1.5869237,-1.0,0.0,0.0,-4,True
false,7,13,false,-3110.2576,1878.1144,-0.86488366,-1.0,-10.0,-10.0,-4,True
false,6,13,false,-4603.689,-757.8822,-1.4907176,-1.0,-10.0,-10.0,-4,True
false,6,5,false,-3317.2312,467.0728,2.8631165,17.347,-6443.206,-1993.5259,-4,True
false,2,5,false,207.30948,-530.26,-0.9488056,17.731,1411.3364,2295.9756,-4,True
false,4,5,false,2485.2698,74.87214,-0.18831155,3.072,1988.8723,-328.71332,-4,True
false,8,5,true,-3900.0005,-3000.0007,1.5691266,-1.0,0.0,0.0,-4,True
false,3,5,true,4140.6533,-514.0669,0.50380564,7.689,450.85806,84.3869,-4,True
false,5,5,true,4324.399,-446.12558,0.33720297,3.409,1607.3014,-485.77582,-4,True
false,2,13,false,-4425.4595,1043.897,1.3514209,-1.0,-10.0,-10.0,-4,True
false,1,5,false,-3968.2485,44.790794,-2.600911,21.521,-4457.2974,5086.8657,-4,True
false,7,5,false,1195.2598,1397.7255,-1.0298946,12.161,2338.6958,2616.3477,-4,True
false,1,13,true,-4005.267,772.3887,-2.6828322,-1.0,-10.0,-10.0,-4,True
false,6,5,false,-3272.8647,661.4656,1.8475711,18.357,-3559.32,-5711.0454,-4,True
false,7,13,false,-3007.0579,1717.2244,-0.88819164,-1.0,-10.0,-10.0,-4,True
false,6,13,false,-4603.689,-757.8822,-1.4924572,-1.0,-10.0,-10.0,-4,True
false,9,5,true,-3900.0005,-3000.0007,1.5867206,-1.0,0.0,0.0,-4,True
false,2,5,false,208.28482,-579.6887,-0.9521061,18.757,1413.917,2294.3887,-4,True
false,4,5,false,2518.1504,101.60326,-0.20526457,4.098,1997.7035,-270.7001,-4,True
false,8,5,true,-3900.0005,-3000.0007,1.5693269,-1.0,0.0,0.0,-4,True
false,3,5,true,4140.6533,-514.0669,0.5038061,8.696,450.85806,84.3869,-4,True
false,2,13,false,-4437.3765,865.5943,1.1406001,-1.0,-10.0,-10.0,-4,True
false,1,5,false,-4119.547,-42.179916,-2.0526996,22.521,-1803.7632,6631.797,-4,True
false,1,13,false,-4005.7249,770.7483,-2.4542751,-1.0,-10.0,-10.0,-4,True
false,7,5,false,1202.968,1397.6185,-1.0263523,13.193,2335.6953,2619.0266,-4,True
false,7,13,false,-2853.4663,1551.2874,-0.82537,-1.0,-10.0,-10.0,-4,True
false,9,5,true,-3900.0005,-3000.0007,1.5871358,-1.0,0.0,0.0,-4,True
false,6,13,false,-4603.689,-757.8822,-1.4928069,-1.0,-10.0,-10.0,-4,True
false,5,5,true,4324.399,-446.12558,0.3372036,4.431,1667.4338,-502.2462,-4,True
false,6,5,false,-3182.4949,673.0906,0.77394855,19.357,2975.8823,-6038.0464,-4,True
false,2,5,false,209.93034,-620.7243,-0.9561499,19.763,1414.2108,2294.2073,-4,True
false,4,5,false,2518.1543,76.19495,-0.20674828,5.104,1996.9335,-276.32217,-4,True
false,8,5,true,-3900.0005,-3000.0007,1.5692668,-1.0,0.0,0.0,-4,True
false,3,5,true,4140.6533,-514.0669,0.50380707,9.721,450.85806,84.3869,-4,True
false,5,5,true,4324.399,-446.12558,0.3372042,5.441,1667.4338,-502.2462,-4,True
false,2,13,false,-4356.176,876.21265,0.768986,-1.0,-10.0,-10.0,-4,True
false,1,13,true,-3997.718,763.596,-2.4359121,-1.0,-10.0,-10.0,-4,True
false,1,5,false,-4218.8867,-103.14144,-2.5078487,23.547,-4717.6006,5183.527,-4,True
false,7,5,false,1204.1321,1397.2122,-1.0219824,14.193,2333.6724,2620.8293,-4,True
false,7,13,false,-2691.0688,1389.4512,-0.72286004,-1.0,-10.0,-10.0,-4,True
false,6,13,false,-4603.689,-757.8822,-1.4914057,-1.0,-10.0,-10.0,-4,True
false,9,5,true,-3900.0005,-3000.0007,1.5866758,-1.0,0.0,0.0,-4,True
false,2,5,false,205.17264,-639.71796,-1.06357,20.763,1168.6171,2426.0835,-4,True
false,4,5,false,2521.3098,77.2096,-0.19948122,6.104,1996.8911,-276.63092,-4,True
false,6,5,false,-3214.318,647.5727,-0.36002797,20.378,6711.4663,-455.6874,-4,True
false,8,5,true,-3900.0005,-3000.0007,1.569875,-1.0,0.0,0.0,-4,True
false,3,5,false,4050.3374,-501.95767,2.8077824,10.728,-288.5921,-378.5802,-4,True
false,5,5,true,4324.399,-446.12558,0.3372046,6.463,1667.4338,-502.2462,-4,True
false,2,13,false,-4264.7847,805.91296,0.585263,-1.0,-10.0,-10.0,-4,True
false,1,13,true,-3997.718,763.596,-2.4359121,-1.0,-10.0,-10.0,-4,True
false,1,5,false,-4312.9727,-95.62043,3.1167462,24.547,-6879.185,1801.7831,-4,True
false,7,5,false,1202.3687,1397.8256,-1.0181601,15.225,2332.8523,2621.5603,-4,True
false,6,5,false,-3210.227,730.2811,-1.0362473,21.378,5655.55,3597.4175,-4,True
false,7,13,false,-2514.7559,1236.2058,-0.5702227,-1.0,-10.0,-10.0,-4,True
false,6,13,false,-4603.689,-757.8822,-1.49247,-1.0,-10.0,-10.0,-4,True
false,9,5,true,-3900.0005,-3000.0007,1.5861361,-1.0,0.0,0.0,-4,True
false,2,5,false,86.33958,-654.6954,-1.6776112,21.789,-464.0887,2752.0813,-4,True
false,4,5,false,2522.1467,78.615845,-0.19657537,7.13,1996.8691,-276.79337,-4,True

